"Gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"A1BG"	"A1BG"	1.15447315111903	2.6979729266143	184.121257799428	6.10432182973059e-42	2.87951342877191e-41
"A2BP1"	"A2BP1"	-2.08733923373125	4.47687173420049	107.919476921268	2.7992292272446e-25	7.6259769519797e-25
"A2LD1"	"A2LD1"	1.34010708458472	1.71585694886218	234.364701516474	6.66057835614612e-53	4.56126740122646e-52
"A2ML1"	"A2ML1"	-1.00711908987749	3.23683802826757	46.6220450485298	8.60863300833456e-12	1.50661484600652e-11
"A2M"	"A2M"	0.676293154327127	9.76887768057448	89.8641390594807	2.55089043726759e-21	6.07988818905546e-21
"A4GALT"	"A4GALT"	-0.0111994789245129	2.71467481480894	0.0187860133638651	0.8909817264941	0.899180373262816
"AAAS"	"AAAS"	0.0794745808492266	5.15898888790307	4.8345164680361	0.0278954623951179	0.0323747482037937
"AACS"	"AACS"	-0.0913415688280159	4.60956563142086	2.31591750230007	0.128055721226886	0.141462241602566
"AADAT"	"AADAT"	-0.43996079741591	3.84050891507199	81.6284203638604	1.64235331434886e-19	3.69657166228676e-19
"AAGAB"	"AAGAB"	0.590117071532338	5.34081911435301	275.280148043972	8.01981610955706e-62	7.40924555316258e-61
"AAK1"	"AAK1"	-0.670896411731066	6.09115858050135	139.329974624312	3.7302267631056e-32	1.2733433824447e-31
"AAMP"	"AAMP"	-0.265436132096769	6.90761354512229	129.628958022311	4.94003989506227e-30	1.5662934200792e-29
"AARS2"	"AARS2"	-0.450520966785582	4.41736995752666	136.472989444541	1.57238033508792e-31	5.2425956036545e-31
"AARSD1"	"AARSD1"	-0.471535429680022	4.94012629897466	135.238643601449	2.9277724282773e-31	9.66819376007539e-31
"AARS"	"AARS"	-0.670014909781857	8.21449364563875	412.584129217151	1.00376527048369e-91	2.581085225718e-90
"AASDHPPT"	"AASDHPPT"	-0.187840724491604	6.63518728903562	34.9705495745529	3.34729993585199e-09	5.3064893967728e-09
"AASDH"	"AASDH"	-0.10901122269734	4.30979168701676	6.4820455757432	0.0108969505620145	0.0129732856320957
"AASS"	"AASS"	-0.191516143771862	6.14961101767218	8.93199165105545	0.00280218620561927	0.00344023487947338
"AATF"	"AATF"	-0.344007216674455	5.94522519661394	74.3257601596956	6.62335635110816e-18	1.41738846851431e-17
"AATK"	"AATK"	-1.78242460295153	6.44029062238484	256.527061382255	9.80738157782852e-58	7.8966330980102e-57
"ABAT"	"ABAT"	-1.04897749451101	9.15297156178197	206.346100983114	8.61143720220659e-47	4.78571118527235e-46
"ABCA11P"	"ABCA11P"	0.0486076249860395	2.94080700026246	0.843733023025152	0.358331302339444	0.379848591779963
"ABCA13"	"ABCA13"	1.65580733103276	0.763884887196157	81.2262213783662	2.01303211564753e-19	4.51544250669807e-19
"ABCA17P"	"ABCA17P"	-1.20209720101343	1.78704263816165	137.346981548019	1.01252550209364e-31	3.4010050333665e-31
"ABCA1"	"ABCA1"	-0.0074925809383252	7.09829101227757	0.0103541494654564	0.918950874131562	0.925630424600823
"ABCA2"	"ABCA2"	-1.21724928627387	8.69791456336274	196.385262253723	1.2843511560352e-44	6.6405541735434e-44
"ABCA3"	"ABCA3"	-0.865473274979861	7.79415248088957	312.819775025899	5.30841053328296e-70	6.48522019327741e-69
"ABCA4"	"ABCA4"	-3.60664959240012	1.66676550454538	134.397127674384	4.47307508221167e-31	1.4684060763079e-30
"ABCA5"	"ABCA5"	0.427761180194266	3.43113557183899	12.7218220249561	0.000361413484044365	0.000465124278470111
"ABCA6"	"ABCA6"	-0.0955049665464529	1.49547222343373	0.309179521231499	0.578184100791634	0.599124703110764
"ABCA7"	"ABCA7"	-0.142534863899806	3.4431354118575	2.64686110795594	0.103754584401303	0.115453890728491
"ABCA8"	"ABCA8"	-0.31879252689297	5.09116310171197	9.05580336764285	0.00261862320312283	0.00322280099563115
"ABCA9"	"ABCA9"	0.184850991450015	1.95970641574027	2.33032959336379	0.126875011035087	0.140243531706112
"ABCB10"	"ABCB10"	0.185574886193868	4.05384691474842	33.6840395258349	6.48304297695637e-09	1.01629684003679e-08
"ABCB1"	"ABCB1"	-0.888009372181614	5.10283746525967	149.234944401651	2.54791795877038e-34	9.30295291024432e-34
"ABCB4"	"ABCB4"	0.53182255530607	1.62992713604962	34.0931362601333	5.25362525586384e-09	8.26254566313316e-09
"ABCB6"	"ABCB6"	-0.097516371126912	5.53801174551057	5.94424667046201	0.0147654004680996	0.0174482656580425
"ABCB7"	"ABCB7"	0.316440801448247	4.6157606820046	76.1308244193224	2.654806967619e-18	5.75181689168218e-18
"ABCB8"	"ABCB8"	0.470724310623378	5.58940633576912	129.102001573317	6.44212204180536e-30	2.03275067129939e-29
"ABCB9"	"ABCB9"	0.361737142434046	3.68090363644973	26.7959098496581	2.261154135931e-07	3.33925618952088e-07
"ABCC10"	"ABCC10"	-0.32261290559602	4.17384678463068	70.2505361600998	5.22310796219234e-17	1.08751523038485e-16
"ABCC1"	"ABCC1"	0.264733304048883	4.62597523601684	18.5403299627346	1.66346995724567e-05	2.27446680875005e-05
"ABCC3"	"ABCC3"	2.79342790232442	4.49007247690495	199.893723304353	2.20304760303393e-45	1.17126405248337e-44
"ABCC4"	"ABCC4"	-0.093718357744578	4.62887296018227	2.5978002177909	0.107012155018033	0.118950780727584
"ABCC5"	"ABCC5"	-0.448886577301442	6.1312928521897	53.9669207902042	2.03893536999515e-13	3.77705276409722e-13
"ABCC6P2"	"ABCC6P2"	-0.153241854558871	0.53848606648603	2.59928380903591	0.106912018323946	0.118848597809704
"ABCC6"	"ABCC6"	-0.827607584543536	1.08020202232216	71.0568495214218	3.47078549912546e-17	7.27578361871406e-17
"ABCC8"	"ABCC8"	-2.73352598462191	4.82744474927431	242.802303165398	9.63147517352015e-55	7.07073357439408e-54
"ABCC9"	"ABCC9"	-0.753587098390602	4.53886365695899	55.1004848540281	1.14522652287545e-13	2.14038786104672e-13
"ABCD1"	"ABCD1"	0.568523692075997	4.31897175653113	110.457552302185	7.77934628550994e-26	2.15502480243642e-25
"ABCD2"	"ABCD2"	0.146760555748575	3.47682596017765	1.68761046680947	0.193916261959093	0.210902691336623
"ABCD3"	"ABCD3"	0.430275929656317	6.58462378070595	112.941060257838	2.22285331246971e-26	6.2802980883341e-26
"ABCD4"	"ABCD4"	0.0849464538311091	5.59285752718444	3.33314520445845	0.0678969196313425	0.076780480042411
"ABCE1"	"ABCE1"	0.192097286592481	6.31307253720887	47.4138457524708	5.74752831587438e-12	1.01212708221522e-11
"ABCF1"	"ABCF1"	-0.123347331285574	6.48980023247388	13.0141355271917	0.000309148450033197	0.000399103095338914
"ABCF2"	"ABCF2"	0.438259079868549	6.42143899306345	214.772778671344	1.24920877581736e-48	7.31881644982106e-48
"ABCF3"	"ABCF3"	-0.249274034032962	5.74660810860247	94.7099959285886	2.20423298967271e-22	5.44179416635264e-22
"ABCG1"	"ABCG1"	-0.687890042849319	5.4244124290307	95.5711795761044	1.42668331671195e-22	3.54637609478689e-22
"ABCG2"	"ABCG2"	-0.344966161785137	6.05654273511855	21.7975115780821	3.02992850341937e-06	4.28445740808773e-06
"ABCG4"	"ABCG4"	-1.29638622683244	1.68368467643239	78.2641509783422	9.01430158451866e-19	1.97967299816561e-18
"ABHD10"	"ABHD10"	-0.0169346603476968	5.75822677713558	0.220771486589797	0.638452712031078	0.658840966004271
"ABHD11"	"ABHD11"	0.487530855301421	4.12684256451514	102.89953338248	3.52582668608058e-24	9.26882021688553e-24
"ABHD12"	"ABHD12"	-0.0194442293268224	6.60142274610842	0.383164972941586	0.53591424477546	0.557558787036603
"ABHD13"	"ABHD13"	0.274359519493168	4.55043362405219	43.6467213718676	3.93335537661901e-11	6.72292630310667e-11
"ABHD14A"	"ABHD14A"	-0.451907872290975	4.74655440597737	71.7016130430983	2.50327826807375e-17	5.27510327320286e-17
"ABHD14B"	"ABHD14B"	0.390603618422943	4.89424753245436	60.2696055399575	8.27148393873256e-15	1.60646998901303e-14
"ABHD15"	"ABHD15"	0.44239769630732	3.13337769956627	64.2221036960063	1.11154688346717e-15	2.22201936370536e-15
"ABHD1"	"ABHD1"	-0.3119968969528	0.261209070451371	13.0172123635731	0.000308640917949441	0.000398483418278253
"ABHD2"	"ABHD2"	-0.347871848855825	8.13983897858188	20.8121800237835	5.06597582921991e-06	7.09011331009442e-06
"ABHD3"	"ABHD3"	0.355649765367177	4.46746217590257	44.1874562712578	2.98387234407272e-11	5.1260851934426e-11
"ABHD4"	"ABHD4"	0.0663615814150632	6.63892515282188	1.75050721717332	0.185812980810348	0.202454619040521
"ABHD5"	"ABHD5"	0.163211353272094	5.57166098512873	20.4820412666595	6.01933816674568e-06	8.39437035352829e-06
"ABHD6"	"ABHD6"	-0.925582726112795	5.71094853352557	240.537976151537	3.00194857429449e-54	2.16322595868897e-53
"ABHD8"	"ABHD8"	0.0555265037686792	5.28810508140063	0.819782117130217	0.36524387735667	0.386777529989943
"ABI1"	"ABI1"	-0.709908847072227	6.93528935218127	249.794432304272	2.87909080939274e-56	2.21823297751882e-55
"ABI2"	"ABI2"	-0.511579236581102	8.01437240785268	212.894128775162	3.20973371078348e-48	1.85424241544344e-47
"ABI3BP"	"ABI3BP"	-1.30904040405101	5.07900411418159	88.7028241845298	4.5880972817983e-21	1.08603473428048e-20
"ABI3"	"ABI3"	0.740330426124101	4.44394488354316	66.1271055493935	4.22761806520649e-16	8.58269902257669e-16
"ABL1"	"ABL1"	-0.345996488732154	7.16553333218057	53.9132349228811	2.09541459220443e-13	3.87919655388025e-13
"ABL2"	"ABL2"	-0.729131586386569	5.81960989799661	316.103653708887	1.0224117856824e-70	1.28708308011513e-69
"ABLIM1"	"ABLIM1"	-1.46882589843025	8.23682993253445	576.86128716803	1.80641620779264e-127	1.56595733174934e-125
"ABLIM2"	"ABLIM2"	-1.24203700701801	3.74949842496253	135.740922580487	2.27339705775956e-31	7.54169780137149e-31
"ABLIM3"	"ABLIM3"	-1.54044561763145	5.90548265640269	259.938631264944	1.76967316686784e-58	1.46230356374119e-57
"ABR"	"ABR"	-0.762043021518273	8.35967294808118	182.800522208317	1.18570913859474e-41	5.51236711606809e-41
"ABT1"	"ABT1"	0.413642698490945	4.68511885962996	148.354758514753	3.96810529326663e-34	1.43975589801055e-33
"ABTB1"	"ABTB1"	-0.156451150042086	4.7061106470574	5.76156409216878	0.0163804839157197	0.0193110965511298
"ABTB2"	"ABTB2"	-0.995458475898338	4.19448180804556	95.7663930854957	1.29271631114007e-22	3.21834119284174e-22
"ACAA1"	"ACAA1"	0.0523379343951991	6.14168147108606	2.03032267761296	0.154187868004625	0.169194100288255
"ACAA2"	"ACAA2"	1.21844817805522	5.45684455290273	285.933445470919	3.82510176308435e-64	3.77220696349946e-63
"ACACA"	"ACACA"	-0.786473754385722	7.11249148356961	277.286918691898	2.92977098010543e-62	2.75238770142675e-61
"ACACB"	"ACACB"	-0.339569190642074	4.20745014979069	14.7115697500533	0.000125275244789781	0.000164768757955997
"ACAD10"	"ACAD10"	-0.265828244927347	4.75162276070954	50.7090078544899	1.07126766590096e-12	1.93544764747886e-12
"ACAD11"	"ACAD11"	-0.0928708717819064	5.22846605513655	2.85425416868657	0.0911324968721797	0.101862658834045
"ACAD8"	"ACAD8"	0.00840435499612443	5.80740219643731	0.0646315449745316	0.799319923094956	0.812737359646417
"ACAD9"	"ACAD9"	-0.0873529564589583	5.14222017508817	14.1473806252221	0.000169032284818112	0.000220795848354399
"ACADL"	"ACADL"	1.00544658749755	0.541127866858584	43.8647196561552	3.51874815043511e-11	6.02851088447918e-11
"ACADM"	"ACADM"	0.297604516417099	5.980088518246	50.1162608046349	1.44901244236675e-12	2.60750194259086e-12
"ACADSB"	"ACADSB"	-1.11535027343201	5.28572488184517	491.883055169255	5.5473089061083e-109	2.61590850272736e-107
"ACADS"	"ACADS"	0.728602545108021	4.03562121171726	114.039593239364	1.27732380667264e-26	3.63940498901788e-26
"ACADVL"	"ACADVL"	0.168852069112361	7.62104478200865	14.811197216887	0.00011882786090057	0.000156502087177725
"ACAN"	"ACAN"	-0.0741377333136487	3.47360568455738	0.157590331205029	0.691384799699645	0.70971975787079
"ACAP1"	"ACAP1"	1.0992212300322	0.228105630296608	98.9976656759177	2.52799571796394e-23	6.43421132365752e-23
"ACAP2"	"ACAP2"	-0.286456533880341	6.06103857680067	61.8798769132858	3.650611982822e-15	7.16608944750021e-15
"ACAP3"	"ACAP3"	-0.443192775622924	7.5262405107898	35.8354154529567	2.14709280725572e-09	3.43615549089553e-09
"ACAT1"	"ACAT1"	-0.258337544875701	6.58140370363207	38.8857572949344	4.49347140040248e-10	7.39311120168505e-10
"ACAT2"	"ACAT2"	-0.254780847990188	5.69494593794381	11.3992996636708	0.000734717988799673	0.000931311822419478
"ACBD3"	"ACBD3"	0.164228861705284	5.78184396242726	33.2068416941022	8.28584862274406e-09	1.29400464413663e-08
"ACBD4"	"ACBD4"	-0.446559284097758	4.03722560650733	70.1321093992516	5.54627824224779e-17	1.15380758892113e-16
"ACBD5"	"ACBD5"	-1.06121464487356	6.71911500020776	586.529115579351	1.42520969961874e-129	1.31418858734908e-127
"ACBD6"	"ACBD6"	0.369099159985638	4.78436093172304	106.446585260052	5.88577455220527e-25	1.58645239605801e-24
"ACBD7"	"ACBD7"	-1.85622167069269	5.69586308118347	187.709116517104	1.00553456196238e-42	4.87675840989261e-42
"ACCN1"	"ACCN1"	-1.87890594402872	2.18149471306625	94.9967492680033	1.90698159783211e-22	4.71840242553673e-22
"ACCN2"	"ACCN2"	-1.32232496540356	7.08386610245867	198.422414635679	4.61426989011159e-45	2.42735411334104e-44
"ACCN3"	"ACCN3"	-0.936458241537525	3.13700623164431	93.2156276607551	4.6896357207533e-22	1.14430905662136e-21
"ACCN4"	"ACCN4"	-1.40486840137281	6.6486383566931	83.2432338642365	7.25534339556158e-20	1.65124361480184e-19
"ACCS"	"ACCS"	0.848224650123558	2.15701485817186	71.0314993268806	3.51566868283907e-17	7.36667180799843e-17
"ACD"	"ACD"	-0.184801655764004	5.11173989494721	28.1633503755155	1.11495932837891e-07	1.66559345753188e-07
"ACER2"	"ACER2"	-0.0742228558216405	0.671781560358892	0.901659527197012	0.34233712035458	0.363824290953843
"ACER3"	"ACER3"	-0.0593286752875269	5.16218297743482	2.18843674895811	0.139050378006681	0.153175492497544
"ACE"	"ACE"	1.37248918261529	3.99980117899661	172.135236390254	2.52828581588668e-39	1.08804975495218e-38
"ACHE"	"ACHE"	-0.159621473258172	4.56942317782312	3.29647396042913	0.0694287690507065	0.0784392297133664
"ACIN1"	"ACIN1"	-0.31042310013761	7.1553093748276	59.123270848182	1.48097432122329e-14	2.85296942759143e-14
"ACLY"	"ACLY"	0.139389495992254	7.77518906424579	11.430386681738	0.00072252647331634	0.000916419813755096
"ACN9"	"ACN9"	1.4562278587794	3.89702528684133	405.659479452751	3.22818524485659e-90	7.93453952288435e-89
"ACO1"	"ACO1"	-0.161725988991116	5.89698110236175	18.9750633788577	1.32438049687126e-05	1.81821303491752e-05
"ACO2"	"ACO2"	-0.7954539516489	8.00991682167506	295.973846267804	2.48287087526217e-66	2.69045820817144e-65
"ACOT11"	"ACOT11"	0.503775897564783	2.03903593689516	20.6289662368475	5.57462648675399e-06	7.78769349114518e-06
"ACOT13"	"ACOT13"	0.180485402224166	5.32850512247021	22.3709078780045	2.24752848572418e-06	3.19433240603073e-06
"ACOT1"	"ACOT1"	-0.815590518373572	3.99621193442313	126.527135776209	2.35755958052459e-29	7.29905689633331e-29
"ACOT2"	"ACOT2"	-0.276736463705215	3.48031536330944	16.931183588229	3.87595998654749e-05	5.22023190299079e-05
"ACOT7"	"ACOT7"	-0.147113600018766	5.95044095391225	4.51335793748694	0.0336311538815358	0.0388756159967258
"ACOT8"	"ACOT8"	0.155776034610886	4.76200954224294	20.0735062801937	7.45218994584686e-06	1.03487149972206e-05
"ACOT9"	"ACOT9"	0.969787449787542	4.29158865421253	292.281899341826	1.58255095859819e-65	1.66501382468212e-64
"ACOX1"	"ACOX1"	-0.263838787070752	6.80027421559025	63.4863536891855	1.61481616010494e-15	3.21033968001089e-15
"ACOX2"	"ACOX2"	0.523238078622284	2.94069836882517	37.4289989982634	9.48020182403564e-10	1.5394826899222e-09
"ACOX3"	"ACOX3"	-0.191101899008028	4.39706735823536	31.2269291491496	2.29559456751454e-08	3.51675370940825e-08
